1.2+3.4,4.6
5.8-3.2,2.6
1.5*8.9,13.35
94.24/7.6,12.4
(1.8-2.9)*3,-3.3
(5.1+2.4)/3,2.5
5499*6233,34275267
(12*(14.6-97.2)-32.5/5),-997.7
(2.3*3.5+3.1-94.88/4.8),-8.61667
2021+2022,4043
7654-6543,1111
1314*520,683280
95614/565,169.228319
224+654-852,26
369+957*555,531504
775+546/36,790.166667
754-456+645,943
546-456*45,-19974
5646-43541/456,5550.515351
4654*1426+564,6637168
4233*143-45341,559978
2346*4564/724,14788.872928
4756/4153+55645,55646.145196
87975/46541-4566,-4564.109731
7410/4105*7545,13619.598051
4564+5112-564*464/52364,9671.002368
4561*456+56+5-456/45646,2079876.990010
665.11+142145.125,142810.235
26.22-12.124,14.096
1.2*3,3.6
4021.12545/421.1214,9.548613
1512.1515+23.56-536.554,999.1575
45215.1251+1201*15236.5455,18344306.2706
45215.1251+1201/15236.5455,45215.203924
49915.1251-1891+15756.5395,63780.6646
49915.1251-1891*15756.5395,-29745701.0694
49915.1251-1891/15756.5395,49915.005086
4563.156*156.15+145.154,712681.9634
4563.156*156.15-145.154,712391.6554
4563.156*156.15/145.154,4908.833442
78548.1485/46545.15+2546.4545,2548.142069
78548.1485/46545.15-2546.4545,-2544.766931
78548.1485/46545.15*2546.4545,4297.317469
48545.155+5616-4854.15*7865.15/3634.15,43655.639853
45.1561*156+41.165-26.156/12.152,7083.364197
0-9,-9
(-9)*(-26),234
13-3,10
45-5+6-7,39
12+(3+2)*9-6/3,55
9+6-12*6+6/3,-55
12+2*(3+2)-6+(6-3.2)/2,17.4